awb,breadth,buyer_city,buyer_pin,cancelled_date,current_status,delivered_date,delivery_attempt_count,dispatch_date,heavy,height,last_mile_arrival_date,last_modified,length,order_created_date,order_id,price,product_category,product_id,product_name,product_price,product_qty,promised_date,return_cause,reverse_logistics_booked_date,reverse_logistics_date,reverse_logistics_delivered_date,rto_date,rto_delivered_date,seller_city,seller_pin,shipper_confirmation_date,shipper_name,shipping_cost,weight
594562,26,$$,65915,,DEL,22-12-2015 21:18,4,18-12-2015 21:25,TRUE,53,21-12-2015 22:43,17-12-2015 14:28,59,05-12-2015 17:44,96a90543-ff1b-418c-bf2c-84fcdac75e2b,xxx,ComputersandPeripherals,b75b1734-2695-4aa4-8f59-f61bdcc9e542,S R Footwear Black Synthetic Leather Men's Formal Shoes (Size: 8),766979,13,22-12-2015 01:38,,,,,,,Port Kaylishire,35062,16-12-2015 05:59,SHPR2,888,87
503604,71,$$,5683,,DEL,22-12-2015 23:34,1,20-12-2015 14:05,FALSE,9,21-12-2015 16:20,30-12-2015 03:42,86,12-12-2015 10:01,5adf78a9-e542-421c-bfc6-79452e3df902,xxx,Furnishing,9f2cd078-c30f-4e8c-8f84-0a05fab49eff,Reliance Micro SD 4 GB Memory Card Class 6,717421,21,22-12-2015 02:08,,,,,,,Boyleland,65130,19-12-2015 23:30,SHPR3,888,87
657322,67,$$,84605,,DEL,,1,12-12-2015 14:28,TRUE,57,,29-12-2015 22:38,99,08-12-2015 00:02,f06dcac0-cc52-4c20-ac67-2c69ef560127,xxx,PowerBanks,84876eb2-b231-45bb-8737-f8c943c4ded7,RockZone Beatz Earphones For Iphone  Samsung And Other Smartphones - Black,315699,2,21-12-2015 12:14,,,,,,,Lake Olar,47633,08-12-2015 17:01,SHPR7,888,87
583423,5,$$,84605,,DEL,,1,16-12-2015 09:50,TRUE,54,20-12-2015 04:10,14-12-2015 09:47,65,05-12-2015 19:01,d5427055-b9c1-4f94-b7f2-dc5dff6e9908,xxx,Mobiles,284fcd99-3162-4559-988a-30031b3bb6ce,Fastrack Core NC1229SM04 Men's Watch,745164,23,21-12-2015 11:31,order_cancelled,,,,19-12-2015 13:47,10-12-2015 22:06,Lake Olar,49496,08-12-2015 09:26,SHPR6,888,87
436923,29,$$,84605,,DEL,,1,18-12-2015 18:54,FALSE,16,,01-12-2015 04:08,21,11-12-2015 12:27,645a200e-e3a5-4c88-b592-9ea697383bf3,xxx,Clothing,fe404ada-0c7a-4949-8cca-78a999379bf0,Gansta Non Metal UV Protection Wayfarer Sunglasses Size: Medium,394983,12,22-12-2015 15:23,,,,,,,Lake Olar,31420,14-12-2015 19:18,SHPR7,888,87
304514,98,$$,84605,,DEL,,1,19-12-2015 03:30,TRUE,33,21-12-2015 06:38,01-12-2015 01:54,59,06-12-2015 12:33,a6b0fc57-b080-48bb-8fb6-9c9d54fb8121,xxx,Clothing,ffb30ec4-c3c0-4fe2-bbbe-5eb2b9d5bacf,Vritika Beige Art Crepe Plain Saree With Blouse Piece,393673,2,22-12-2015 13:18,,,,,,,Lake Olar,24749,18-12-2015 05:37,SHPR8,888,87
532785,46,$$,84605,,DEL,22-12-2015 02:44,1,15-12-2015 20:54,FALSE,12,21-12-2015 15:05,12-12-2015 15:28,69,10-12-2015 23:31,3efdcab7-8ff4-45f6-8084-b6c7938e63d3,xxx,Tablets,3269e190-cf7f-4177-9a85-0dbba156118f,ORKIA-OKHT-107 White/Blue Trimmer,393673,8,21-12-2015 15:10,,,,,,,Lake Olar,40335,12-12-2015 21:28,SHPR9,888,87
511686,65,$$,84605,,DEL,,6,19-12-2015 15:19,FALSE,62,21-12-2015 10:04,07-12-2015 23:10,74,01-12-2015 18:38,d0562b52-09db-4eac-ac28-f2ed83ed24ff,xxx,PowerBanks,c1f8d612-0dbc-4eca-ae6b-e7260fc8f740,AlphaPowerful10mmDrillMachineWith41PcsScrewdriverToolkit,393673,28,22-12-2015 11:44,,,,,,,Lake Olar,40335,17-12-2015 12:59,SHPR10,888,87
822624,18,$$,84605,,DEL,,2,18-12-2015 02:45,FALSE,65,19-12-2015 04:22,15-12-2015 22:28,48,02-12-2015 11:10,d37c437c-0e3e-4d8c-9815-f36cfb2ad037,xxx,Tablets,0b68d8e4-22d9-42a4-9880-59b6114b2510,Johra Tempered Glass Screen Protector For Infocus M2,393673,11,22-12-2015 19:23,COD_denied,,,,14-12-2015 20:13,01-12-2015 17:49,Lake Olar,40335,12-12-2015 14:19,SHPR11,888,87
326922,63,$$,84605,,DEL,20-12-2015 14:37,1,19-12-2015 21:48,TRUE,79,20-12-2015 01:03,26-12-2015 11:05,41,11-12-2015 20:34,14ae9236-20e3-4e00-89b6-a2260d96b76c,xxx,Clothing,5205eff3-2bbe-4f7c-9bd5-8628bc31f1fc,Belly Creation Pink Net Embroidered Saree With Blouse Piece,393673,1,22-12-2015 19:00,,,,,,,Lake Olar,40335,18-12-2015 17:57,SHPR12,888,87
150267,15,$$,84605,,DEL,,1,19-12-2015 22:55,FALSE,29,21-12-2015 09:01,15-12-2015 23:37,21,10-12-2015 06:53,6db783b3-0fe3-4a61-8ff5-e1cff2f2f7fc,xxx,Tablets,42f0f2a4-be39-484c-98d9-62e843d3877f,Trost 2 In 1 Charging And Data Sync Usb Cable For Iphone 5/ 5c/ 5s/ Ipad And Other Android Phones,393673,22,21-12-2015 10:21,,,,,,,Lake Olar,40335,19-12-2015 06:52,SHPR13,888,87
727643,56,$$,84605,,DEL,22-12-2015 12:17,1,19-12-2015 02:07,FALSE,98,21-12-2015 03:11,26-12-2015 17:05,20,04-12-2015 20:52,acdba6f4-e300-41a6-8e27-d4291dbdedc1,xxx,Sports,73d23cc6-ad2c-4270-8d48-997ef4cd43f9,Shield High Quality Altra Clear Tempered Glass Screen Protector For Htc Desire 816,393673,21,22-12-2015 00:05,,,,,,,Lake Olar,40335,08-12-2015 05:13,SHPR14,888,87
326777,74,$$,84605,,DEL,,1,09-12-2015 12:16,FALSE,95,19-12-2015 08:24,12-12-2015 23:16,31,08-12-2015 21:16,ce0387ac-78d1-44fa-9460-6f8c8f5bc4b9,xxx,Clothing,fc781c32-8ab6-47a3-bfab-f6b3035ced3c,Vishal Party Wear Pink Designer Saree,393673,39,22-12-2015 05:55,,,,,,,Lake Olar,40335,09-12-2015 04:16,SHPR15,888,87
742270,52,$$,84605,,DEL,,1,20-12-2015 08:13,FALSE,73,20-12-2015 23:36,17-12-2015 18:40,28,13-12-2015 05:59,32979dfb-b651-4134-8179-615651979998,xxx,Clothing,19ba0a8c-2e6b-44b3-9086-9790812da271,Glory Blue Women's Watch,393673,3,21-12-2015 06:41,,,,,,,Lake Olar,40335,19-12-2015 20:07,SHPR16,888,87
514116,65,$$,84605,,DEL,,2,,TRUE,53,,06-12-2015 12:56,88,02-12-2015 13:59,d1c96cf5-d5d9-4109-bde2-f8da07758469,xxx,Luggage,25c13308-df71-47af-8408-bab9af590076,Joe Black Superior SilverBlue Frame Aviator Sunglasses,393673,34,22-12-2015 17:21,,,,,,,Lake Olar,40335,,SHPR17,888,87
155709,82,$$,84605,,DEL,,1,20-12-2015 15:29,FALSE,60,20-12-2015 20:27,27-12-2015 15:33,52,01-12-2015 01:48,046cbcc5-5b5f-4697-ad65-bb2f778ecaa5,xxx,Furnishing,ac1ddaef-4ad3-47e0-bfba-8e5a1854d102,MICROMAX X070 Multi,393673,26,21-12-2015 20:38,,,,,,,Lake Olar,40335,14-12-2015 17:42,SHPR18,888,87
273154,4,$$,84605,,DEL,,1,19-12-2015 20:31,TRUE,35,,27-12-2015 13:43,23,12-12-2015 05:13,e7dbbaee-9ddd-4cb9-a09a-fb7eead0e265,xxx,Clothing,758556e8-9c5a-44b8-a4da-257929fd39f3,Fastrack 6111SM02 Women Watch,393673,34,22-12-2015 20:40,,,,,,,Lake Olar,40335,16-12-2015 01:18,SHPR19,888,87
64704,99,$$,84605,26-12-2015 02:56,DEL,,1,16-12-2015 12:26,FALSE,80,19-12-2015 21:45,10-12-2015 22:35,71,05-12-2015 12:38,d6707952-d29e-4cc1-a3d4-c627140d20ff,xxx,Tablets,fdd352e9-ffd4-452b-9a0a-fafbe0a4d2b1,Casio Ravishing White & Silver Wrist Watch For Men,393673,13,22-12-2015 02:35,,,,,04-12-2015 05:40,27-12-2015 23:15,Lake Olar,40335,11-12-2015 20:53,SHPR20,888,87
303798,7,$$,84605,,DEL,,1,,FALSE,57,,26-12-2015 12:12,99,10-12-2015 02:04,98268c36-1be7-40e8-b5e4-1ccea8b06f5b,xxx,Clothing,f5a1d9a5-179c-4201-a75b-869cd4eaac08,Saran Art Silk Saree,393673,8,21-12-2015 13:17,,,,,,,Lake Olar,40335,,SHPR21,888,87
474391,53,$$,84605,,DEL,21-12-2015 01:00,1,18-12-2015 12:40,TRUE,26,20-12-2015 18:59,12-12-2015 18:44,85,09-12-2015 15:42,1898b9d8-2886-42d4-a366-2415a4f24832,xxx,Decoratives,0fb77431-6efd-4dc4-bc4e-400e03f3abbd,Lapcare 32 GB Pen Drives Silver,393673,6,21-12-2015 23:21,,,,,,,Lake Olar,40335,14-12-2015 19:16,SHPR22,888,87
533241,63,$$,84605,,DEL,,1,20-12-2015 13:09,TRUE,4,,07-12-2015 05:19,63,11-12-2015 07:54,c16c87dc-a8a9-4706-bcfb-d83389f4d082,xxx,Sports,34918931-871a-4168-8397-64b33cd0b98e,Learn ANDROID APP. DEVELOPMENT  iPHONE APP. DEVELOPMENT and ADOBE FLASH (Inception Success Series - 3 CDs),393673,22,22-12-2015 13:13,,,,,,,Lake Olar,40335,18-12-2015 22:54,SHPR23,888,87
843228,24,$$,84605,,DEL,,1,20-12-2015 09:22,FALSE,22,20-12-2015 16:22,04-12-2015 23:03,42,07-12-2015 20:03,73258fae-2a13-4efe-8f77-30be87b3fc30,xxx,Fitness,e07f1038-d758-4854-a92a-ba805bda929f,Moserbaer Swivel 16GB Pen Drive,393673,12,21-12-2015 12:11,person_unavailable,,,,28-12-2015 02:01,22-12-2015 07:46,Lake Olar,40335,18-12-2015 09:45,SHPR24,888,87
483473,83,$$,84605,,DEL,22-12-2015 00:37,1,20-12-2015 09:30,TRUE,29,21-12-2015 19:16,27-12-2015 06:07,47,11-12-2015 20:34,1e9650ec-09e7-489f-b369-0c06f243cc6b,xxx,ComputersandPeripherals,e78598bd-2fc1-4472-8c41-73d10f0bcc4f,Kesar Sarees White Pure Georgette Embroidered Saree With Blouse Piece,393673,22,22-12-2015 08:39,,,,,,,Lake Olar,40335,17-12-2015 21:01,SHPR25,888,87
32815,38,$$,84605,,DEL,21-12-2015 00:03,6,18-12-2015 04:42,TRUE,76,19-12-2015 09:00,02-12-2015 20:07,52,05-12-2015 08:37,77235b77-1760-4618-bc6a-53a79e2af7ca,xxx,PowerBanks,115b33cd-058c-46c5-b06f-3f647bbb4ed6,Gansta Non Metal UV Protection Wayfarer Sunglasses Size: Medium,393673,33,19-12-2015 20:45,,,,,,,Lake Olar,40335,15-12-2015 18:24,SHPR26,888,87
33848,35,$$,84605,,DEL,,1,,FALSE,95,,30-12-2015 07:38,6,08-12-2015 05:58,789c8b90-b848-486e-9a8d-aed18479c95e,xxx,Sports,1e80325f-d453-4cc8-8f12-8b803bc76d50,S R Footwear Black Synthetic Leather Men's Formal Shoes (Size: 8),393673,25,22-12-2015 18:50,,,,,,,Lake Olar,40335,,SHPR27,888,87
311026,68,$$,84605,,DEL,,1,16-12-2015 17:59,TRUE,79,,13-12-2015 08:13,3,04-12-2015 23:14,390d5c07-a758-4269-bc60-af29d5175ac0,xxx,Furnishing,1c1f063b-4e91-40ab-8245-fdf31b7ea96c,SanDisk microSDHC Card 8GB  CLASS 4 COMBO OF 2,393673,21,21-12-2015 02:07,,,,,,,Lake Olar,40335,15-12-2015 02:48,SHPR28,888,87
285553,21,$$,84605,,DEL,,1,06-12-2015 20:18,TRUE,72,07-12-2015 12:57,10-12-2015 02:53,19,01-12-2015 17:25,f30ced29-007a-4585-8201-ab5b7e8c1a8f,xxx,Decoratives,5e76acf3-5357-4966-bca4-70fe8ed9ed17,AVR FASHIONS Black Embroidered Faux Georgette Saree,393673,7,15-12-2015 22:58,,,,,,,Lake Olar,40335,04-12-2015 10:51,SHPR29,888,87
331703,92,$$,84605,,DEL,17-12-2015 20:47,1,13-12-2015 15:08,FALSE,60,16-12-2015 00:09,13-12-2015 23:52,8,07-12-2015 11:44,e47e94f7-64dc-403e-b21c-fcfc798602f2,xxx,Decoratives,26612311-53ab-4bef-b31c-a67347996ce5,Varanga Red Designer Dress Material With Matching Dupatta,393673,7,17-12-2015 22:51,,,,,,,Lake Olar,40335,10-12-2015 03:40,SHPR30,888,87
791627,46,$$,84605,,DEL,22-12-2015 13:08,1,18-12-2015 22:24,TRUE,63,19-12-2015 08:48,14-12-2015 14:00,55,07-12-2015 22:38,bd27c600-e876-4761-8aa5-205ee831ec2a,xxx,Tablets,697f715b-0d94-41d5-96e7-7f37d19d7b3f,Samsung Galaxy Trend S7392 (White),393673,2,21-12-2015 20:35,,,,,,,Lake Olar,40335,12-12-2015 08:29,SHPR31,888,87
734437,70,$$,84605,,DEL,22-12-2015 01:01,4,16-12-2015 12:36,FALSE,29,18-12-2015 14:13,13-12-2015 00:07,94,11-12-2015 15:38,dba22dd7-2cb9-4d44-bfc1-a7ba6fda0b6f,xxx,Decoratives,1f71dee0-b051-4b57-8e51-d263e0263a17,Imported Cake And Cookies Decoration Sugarcraft Tool,393673,25,21-12-2015 03:50,,,,,,,Lake Olar,40335,15-12-2015 23:53,SHPR32,888,87
367648,49,$$,84605,,DEL,22-12-2015 08:29,1,10-12-2015 06:49,TRUE,7,21-12-2015 13:06,30-12-2015 21:08,59,04-12-2015 03:48,db181b6d-bfd7-4428-ad15-854161758691,xxx,Decoratives,93d8b6e9-fb9c-4756-8331-ec4a58664b82,Shield High Quality Altra Clear Tempered Glass Screen Protector For Htc Desire 816,393673,14,22-12-2015 11:26,,,,,,,Lake Olar,40335,07-12-2015 02:32,SHPR33,888,87
933386,66,$$,84605,11-12-2015 13:48,DEL,,1,19-12-2015 22:17,TRUE,86,20-12-2015 10:13,08-12-2015 21:18,77,05-12-2015 13:57,f3069ca2-10a8-4fa1-8dd8-e1bb129de8e9,xxx,Furnishing,bddaa062-c3fa-43fc-81b1-d93779336a85,RICO SORDI Mens Black Steel Watch with Sunglass and Wallet Combo,393673,32,22-12-2015 10:45,,,,,03-12-2015 10:05,10-12-2015 03:53,Lake Olar,40335,19-12-2015 00:28,SHPR34,888,87
52663,62,$$,84605,,DEL,,1,,FALSE,2,,05-12-2015 00:50,21,02-12-2015 00:32,014d35a8-9f69-488f-80d8-3aadb482c9a3,xxx,Furnishing,d06fccc0-ce88-42ae-939f-f003b27f8d0d,Joe Black Gradient Grey Aviator Sunglasses,393673,29,21-12-2015 23:05,,,,,,,Lake Olar,40335,,SHPR35,888,87
294367,1,$$,84605,,DEL,22-12-2015 06:21,2,19-12-2015 06:54,TRUE,79,21-12-2015 14:01,07-12-2015 12:05,8,05-12-2015 14:15,3c505fb7-62ec-4947-92b5-bd81dea66828,xxx,Luggage,6754336f-4032-4975-91b3-46270bd6c93a,Aisha Multi Printed Faux Georgette Saree With Blouse Piece,393673,19,22-12-2015 04:07,,,,,,,Lake Olar,40335,08-12-2015 10:40,SHPR36,888,87
